scenario,method,aupr_ratio_median,observed_aupr_median,scenario_rank,raw_rank,overlap_point_rank,rank_shift_vs_overlap
adversarial_150pct,probe_consensus,0.0011039615205308269,0.00015934463523014568,1.0,1.0,1.0,0.0
adversarial_150pct,probe_perturbation,0.00100028751761386,0.00014455559160988132,2.0,3.0,2.0,0.0
adversarial_150pct,probe_integrated_gradients,0.0009923922067175636,0.00014516250912222385,3.0,2.0,3.0,0.0
adversarial_150pct,probe_grad_input,0.000988333677987674,0.00014285038070842865,4.0,4.0,4.0,0.0
adversarial_150pct,probe_attention,0.0008430734049789499,0.000122129038829596,5.0,5.0,5.0,0.0
adversarial_150pct,attention_inferred,0.0008419192982705126,0.00012196441606193337,6.0,6.0,6.0,0.0
adversarial_150pct,grnboost2,3.018022950530242e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
adversarial_150pct,genie3,3.0179822908152964e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
adversarial_150pct,scenic_grnboost2,3.017733687945146e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
adversarial_150pct,scenic_pruned,3.01764046072481e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
adversarial_150pct,pidc_full,3.017613635366625e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
adversarial_150pct,pidc_proxy,3.0176061200040402e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
adversarial_150pct,spearman,3.0172805625294645e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
adversarial_150pct,pearson,3.0172805545576245e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
adversarial_150pct,random,3.0166841103152445e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
adversarial_half,probe_consensus,0.003310578988227593,0.00015934463523014568,1.0,1.0,1.0,0.0
adversarial_half,probe_perturbation,0.0029996448862173643,0.00014455559160988132,2.0,3.0,2.0,0.0
adversarial_half,probe_integrated_gradients,0.0029756222736116726,0.00014516250912222385,3.0,2.0,3.0,0.0
adversarial_half,probe_grad_input,0.0029637935035307698,0.00014285038070842865,4.0,4.0,4.0,0.0
adversarial_half,probe_attention,0.00252813586040484,0.000122129038829596,5.0,5.0,5.0,0.0
adversarial_half,attention_inferred,0.002524674516889563,0.00012196441606193337,6.0,6.0,6.0,0.0
adversarial_half,grnboost2,7.844806800271617e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
adversarial_half,genie3,7.844701112669657e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
adversarial_half,scenic_grnboost2,7.844054914307917e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
adversarial_half,scenic_pruned,7.843812586948566e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
adversarial_half,pidc_full,7.843742859264e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
adversarial_half,pidc_proxy,7.843723324433258e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
adversarial_half,spearman,7.84287709644484e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
adversarial_half,pearson,7.842877075723478e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
adversarial_half,random,7.841326726397016e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
beta_ci_high,probe_consensus,0.0015815639262780302,0.00015934463523014568,1.0,1.0,1.0,0.0
beta_ci_high,probe_perturbation,0.0014329337472297082,0.00014455559160988132,2.0,3.0,2.0,0.0
beta_ci_high,probe_integrated_gradients,0.0014205845757333802,0.00014516250912222385,3.0,2.0,3.0,0.0
beta_ci_high,probe_grad_input,0.0014157963630792895,0.00014285038070842865,4.0,4.0,4.0,0.0
beta_ci_high,probe_attention,0.0012075468749361356,0.000122129038829596,5.0,5.0,5.0,0.0
beta_ci_high,attention_inferred,0.0012058923068090526,0.00012196441606193337,6.0,6.0,6.0,0.0
beta_ci_high,grnboost2,3.538862879448514e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
beta_ci_high,genie3,3.5388152028210436e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
beta_ci_high,scenic_grnboost2,3.5385236969301604e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
beta_ci_high,scenic_pruned,3.538414380879617e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
beta_ci_high,pidc_full,3.5383829260941947e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
beta_ci_high,pidc_proxy,3.5383741137564117e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
beta_ci_high,spearman,3.5379923727024877e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
beta_ci_high,pearson,3.5379923633548956e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
beta_ci_high,random,3.5372929868346974e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
beta_ci_low,probe_consensus,0.0017314591122510547,0.00015934463523014568,1.0,1.0,1.0,0.0
beta_ci_low,probe_perturbation,0.0015689596774943698,0.00014455559160988132,2.0,3.0,2.0,0.0
beta_ci_low,probe_integrated_gradients,0.0015576078970598365,0.00014516250912222385,3.0,2.0,3.0,0.0
beta_ci_low,probe_grad_input,0.0015502231356747916,0.00014285038070842865,4.0,4.0,4.0,0.0
beta_ci_low,probe_attention,0.0013225410367731318,0.000122129038829596,5.0,5.0,5.0,0.0
beta_ci_low,attention_inferred,0.0013207320868682008,0.00012196441606193337,6.0,6.0,6.0,0.0
beta_ci_low,grnboost2,4.829497725017442e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
beta_ci_low,genie3,4.829432660568282e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
beta_ci_low,scenic_grnboost2,4.8290348415273055e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
beta_ci_low,scenic_pruned,4.828885657556242e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
beta_ci_low,pidc_full,4.828842731107884e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
beta_ci_low,pidc_proxy,4.828830704881742e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
beta_ci_low,spearman,4.82830974161917e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
beta_ci_low,pearson,4.82830972886248e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
beta_ci_low,random,4.82735528744209e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
conservative_min,probe_consensus,0.003310578988227593,0.00015934463523014568,1.0,1.0,1.0,0.0
conservative_min,probe_perturbation,0.0029996448862173643,0.00014455559160988132,2.0,3.0,2.0,0.0
conservative_min,probe_integrated_gradients,0.0029756222736116726,0.00014516250912222385,3.0,2.0,3.0,0.0
conservative_min,probe_grad_input,0.0029637935035307698,0.00014285038070842865,4.0,4.0,4.0,0.0
conservative_min,probe_attention,0.00252813586040484,0.000122129038829596,5.0,5.0,5.0,0.0
conservative_min,attention_inferred,0.002524674516889563,0.00012196441606193337,6.0,6.0,6.0,0.0
conservative_min,grnboost2,5.721895370491889e-05,3.0151337497466787e-06,7.0,7.0,7.0,0.0
conservative_min,genie3,5.721818283392644e-05,3.015093128955917e-06,8.0,8.0,8.0,0.0
conservative_min,scenic_grnboost2,5.721346955097557e-05,3.0148447640771995e-06,9.0,9.0,9.0,0.0
conservative_min,scenic_pruned,5.7211702048179246e-05,3.014751626104746e-06,10.0,10.0,10.0,0.0
conservative_min,pidc_full,5.721119346393278e-05,3.014724826426898e-06,11.0,11.0,11.0,0.0
conservative_min,pidc_proxy,5.72110509795346e-05,3.014717318258888e-06,12.0,12.0,12.0,0.0
conservative_min,spearman,5.7204878707695924e-05,3.0143920724455973e-06,13.0,13.0,13.0,0.0
conservative_min,pearson,5.720487855655714e-05,3.014392064481389e-06,14.0,14.0,14.0,0.0
conservative_min,random,5.719357051945745e-05,3.0137961912244524e-06,15.0,15.0,15.0,0.0
mapping_max,pidc_proxy,2.263824612216671e-06,2.1261963888279308e-06,1.0,1.0,12.0,-11.0
mapping_max,scenic_grnboost2,2.263794858664565e-06,2.126183641792967e-06,2.0,2.0,9.0,-7.0
mapping_max,scenic_pruned,2.2636307307109136e-06,2.1260409018747984e-06,3.0,3.0,10.0,-7.0
mapping_max,pidc_full,2.2636057050403082e-06,2.126017991351303e-06,4.0,4.0,11.0,-7.0
mapping_max,grnboost2,2.2634769100974544e-06,2.1259498270283297e-06,5.0,5.0,7.0,-2.0
mapping_max,genie3,2.263461153538847e-06,2.1259332419868874e-06,6.0,6.0,8.0,-2.0
mapping_max,spearman,2.2630889444094355e-06,2.125564977624922e-06,7.0,7.0,13.0,-6.0
mapping_max,pearson,2.263088940427328e-06,2.125564973642818e-06,8.0,8.0,14.0,-6.0
mapping_max,random,2.2627615317242632e-06,2.12524292715197e-06,9.0,9.0,15.0,-6.0
mapping_min,scenic_grnboost2,3.7752693692211346e-05,2.126183641792967e-06,1.0,2.0,9.0,-8.0
mapping_min,pidc_proxy,3.7752614714757985e-05,2.1261963888279308e-06,2.0,1.0,12.0,-10.0
mapping_min,scenic_pruned,3.7750388430693313e-05,2.1260409018747984e-06,3.0,3.0,10.0,-7.0
mapping_min,pidc_full,3.774999356039232e-05,2.126017991351303e-06,4.0,4.0,11.0,-7.0
mapping_min,grnboost2,3.774984397475948e-05,2.1259498270283297e-06,5.0,5.0,7.0,-2.0
mapping_min,genie3,3.774951360401324e-05,2.1259332419868874e-06,6.0,6.0,8.0,-2.0
mapping_min,spearman,3.7742599382106324e-05,2.125564977624922e-06,7.0,7.0,13.0,-6.0
mapping_min,pearson,3.774259930653693e-05,2.125564973642818e-06,8.0,8.0,14.0,-6.0
mapping_min,random,3.773658891821226e-05,2.12524292715197e-06,9.0,9.0,15.0,-6.0
optimistic_max,probe_consensus,0.0011039615205308269,0.00015934463523014568,1.0,1.0,1.0,0.0
optimistic_max,probe_perturbation,0.00100028751761386,0.00014455559160988132,2.0,3.0,2.0,0.0
optimistic_max,probe_integrated_gradients,0.0009923922067175636,0.00014516250912222385,3.0,2.0,3.0,0.0
optimistic_max,probe_grad_input,0.000988333677987674,0.00014285038070842865,4.0,4.0,4.0,0.0
optimistic_max,probe_attention,0.0008430734049789499,0.000122129038829596,5.0,5.0,5.0,0.0
optimistic_max,attention_inferred,0.0008419192982705126,0.00012196441606193337,6.0,6.0,6.0,0.0
optimistic_max,grnboost2,3.0151366360792853e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
optimistic_max,genie3,3.0150960152496386e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
optimistic_max,scenic_grnboost2,3.0148476501331656e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
optimistic_max,scenic_pruned,3.014754512071553e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
optimistic_max,pidc_full,3.01472771236805e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
optimistic_max,pidc_proxy,3.0147202041928526e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
optimistic_max,spearman,3.01439495806821e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
optimistic_max,pearson,3.014394950103994e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
optimistic_max,random,3.0137990762766387e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
overlap_point,probe_consensus,0.0016556633361923799,0.00015934463523014568,1.0,1.0,1.0,0.0
overlap_point,probe_perturbation,0.0015001710933978285,0.00014455559160988132,2.0,3.0,2.0,0.0
overlap_point,probe_integrated_gradients,0.0014882559907809009,0.00014516250912222385,3.0,2.0,3.0,0.0
overlap_point,probe_grad_input,0.001482242497285381,0.00014285038070842865,4.0,4.0,4.0,0.0
overlap_point,probe_attention,0.0012643783767137336,0.000122129038829596,5.0,5.0,5.0,0.0
overlap_point,attention_inferred,0.001262647425083406,0.00012196441606193337,6.0,6.0,6.0,0.0
overlap_point,grnboost2,4.000707714739695e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
overlap_point,genie3,4.000653815999384e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
overlap_point,scenic_grnboost2,4.000324266676261e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
overlap_point,scenic_pruned,4.000200684163558e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
overlap_point,pidc_full,4.000165124322165e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
overlap_point,pidc_proxy,4.000155161916456e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
overlap_point,spearman,3.9997236011492e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
overlap_point,pearson,3.999723590581686e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
overlap_point,random,3.998932940834811e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
