method,reference,precision,recall,f1,aupr,pred_edges,true_edges,candidate_edges,reference_excluded,ref_nodes,overlap_nodes,ref_node_overlap_pct,gene_universe_overlap_pct,source_table,coverage_overlap,observed_base_rate,coverage_scenario_c,latent_true_edges_hat,latent_precision_hat,f1_ceiling,f1_ratio,aupr_ceiling,aupr_ratio,aupr_uplift_ratio
attention_inferred,dorothea_human,8.361029242699777e-06,0.0002652871733651,1.6211133806698443e-05,0.000234896506359,239258,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,8.803305144120845e-05,0.17347598905200298,9.344886226207838e-05,0.09511123653475487,0.0024697030016339427,-0.00097037585155083
attention_inferred,trrust_human,0.0,0.0,0.0,9.03232576486672e-06,239258,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,0.0,0.27441435959841803,0.0,0.16247572266869767,5.55918485328693e-05,-2.900391967943698e-05
probe_attention,dorothea_human,7.515751763070101e-05,0.0023875845602865,0.0001457277481824,0.0002352258010114,239505,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,0.0007913314765109724,0.17347598905200298,0.0008400456396228709,0.09511123653475487,0.0024731652071986834,-0.0009669017062383098
probe_attention,trrust_human,0.0,0.0,0.0,9.03227664779199e-06,239505,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,0.0,0.27441435959841803,0.0,0.16247572266869767,5.559154622878397e-05,-2.9004222009097377e-05
probe_grad_input,dorothea_human,7.938000041778948e-05,0.002520228146969,0.0001539122052378,0.0002766684077106,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,0.0008357898839169665,0.17347598905200298,0.0008872248319717703,0.09511123653475487,0.0029088929740651815,-0.0005296712903985893
probe_grad_input,trrust_human,0.0,0.0,0.0,9.032353706257255e-06,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,0.0,0.27441435959841803,0.0,0.16247572266869767,5.559202050558052e-05,-2.9003747692176778e-05
probe_integrated_gradients,dorothea_human,0.0001044473689707,0.0033160896670645,0.0002025160595235,0.0002728984309818,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,0.0010997235314688966,0.17347598905200298,0.0011674010947001529,0.09511123653475487,0.0028692554205420238,-0.0005694455378247563
probe_integrated_gradients,trrust_human,4.177894758831025e-06,0.0031545741324921,8.344737808338063e-06,1.7426587262647723e-05,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,2.6271639769500634e-05,0.27441435959841803,3.040926072728072e-05,0.16247572266869767,0.00010725656101977815,2.2665163666498306e-05
probe_perturbation,dorothea_human,0.0001086252637296,0.0034487332537471,0.0002106167019044,0.0002800788297264,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,0.0011437124727284105,0.17347598905200298,0.0012140971384879283,0.09511123653475487,0.002944750167600393,-0.0004936904398941747
probe_perturbation,trrust_human,0.0,0.0,0.0,9.032353493362616e-06,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,0.0,0.27441435959841803,0.0,0.16247572266869767,5.559201919526391e-05,-2.9003749002604252e-05
probe_consensus,dorothea_human,0.0001544904529075,0.0049078127072556,0.000299551482375,0.0003096569934889,239505,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817,0.09497602441150828,79377.92771084337,0.0016266258128275616,0.17347598905200298,0.0017267604814473966,0.09511123653475487,0.0032557351241642974,-0.00018163302189631373
probe_consensus,trrust_human,0.0,0.0,0.0,9.032276971391347e-06,239505,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05,0.15902679830747532,1993.3747228381374,0.0,0.27441435959841803,0.0,0.16247572266869767,5.559154822046219e-05,-2.9004220017250663e-05
genie3,hpn_dream,0.0,0.0,0.0,3.015093128955917e-06,9410,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000653815999384e-06,-2.90322915084822e-06
genie3,beeline_gsd,0.0,0.0,0.0,1.2367733550178578e-06,9410,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3861074155192906e-06,-8.178670390032661e-07
genie3,dorothea_trrust_union_immune,0.0323060573857598,0.0262453595786929,0.0289620349640356,0.0013042172802631,9410,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.27420713427807897,0.21079717457114028,0.13739289923101616,0.11792458771705586,0.01105975696427613,0.007064026985996908
grnboost2,hpn_dream,0.0,0.0,0.0,3.0151337497466787e-06,8060,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000707714739695e-06,-2.9031752517357977e-06
grnboost2,beeline_gsd,0.0,0.0,0.0,1.2367659043099808e-06,8060,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3860990651765236e-06,-8.178753893644368e-07
grnboost2,dorothea_trrust_union_immune,0.0348635235732009,0.0242596909263575,0.0286107010130835,0.0016239307463355,8060,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.29591437839943757,0.21079717457114028,0.13572620729519266,0.11792458771705586,0.013770925790573063,0.00978615006219084
scenic_grnboost2,hpn_dream,0.0,0.0,0.0,3.0148447640771995e-06,3488,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000324266676261e-06,-2.9035587024465227e-06
scenic_grnboost2,beeline_gsd,0.0,0.0,0.0,1.2375225195087353e-06,3488,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3869470377928752e-06,-8.170274148791728e-07
scenic_grnboost2,dorothea_trrust_union_immune,0.0229357798165137,0.0069066735733402,0.010616415632672,0.0004543169400756,3488,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.19467415602039465,0.21079717457114028,0.05036317803723289,0.11792458771705586,0.0038526057107417856,-0.00017224415675676807
scenic_pruned,hpn_dream,0.0,0.0,0.0,3.014751626104746e-06,29,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000200684163558e-06,-2.903682285812428e-06
scenic_pruned,beeline_gsd,0.0,0.0,0.0,1.237330177644851e-06,29,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3867314716321366e-06,-8.172429815150142e-07
scenic_pruned,dorothea_trrust_union_immune,0.0476190476190476,8.6333419666753e-05,0.0001723543605653,0.0003195052766069,29,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.4041806286899632,0.21079717457114028,0.0008176312652954155,0.11792458771705586,0.002709403380518996,-0.0013200654999626755
pidc_proxy,hpn_dream,0.0,0.0,0.0,3.014717318258888e-06,15000,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000155161916456e-06,-2.9037278083738116e-06
pidc_proxy,beeline_gsd,0.0,0.0,0.0,1.2376754593969737e-06,15000,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.387118444390823e-06,-8.168560079034488e-07
pidc_proxy,dorothea_trrust_union_immune,0.0022,0.0028490028490028,0.0024827897528495,0.0003619776903496,15000,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.018673145045476305,0.21079717457114028,0.0117780978701477,0.11792458771705586,0.0030695692675908833,-0.0009584443928790018
pidc_full,hpn_dream,0.0,0.0,0.0,3.014724826426898e-06,9950,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000165124322165e-06,-2.9037178458993233e-06
pidc_full,beeline_gsd,0.0,0.0,0.0,1.2373111562757078e-06,9950,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3867101535299026e-06,-8.172642996642329e-07
pidc_full,dorothea_trrust_union_immune,0.0,0.0,0.0,0.0003108644286504,9950,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.0,0.21079717457114028,0.0,0.11792458771705586,0.002636129026766473,-0.001393635912586288
pearson,hpn_dream,0.0,0.0,0.0,3.014392064481389e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.999723590581686e-06,-2.9041593826881113e-06
pearson,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3860676602172127e-06,-8.179067943929637e-07
pearson,dorothea_trrust_union_immune,0.0013226452905811,0.0056980056980056,0.0021469349251012,0.0003420434736741,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.011226339706698653,0.21079717457114028,0.010184837294280944,0.11792458771705586,0.002900527195352908,-0.0011281694654098546
spearman,hpn_dream,0.0,0.0,0.0,3.0143920724455973e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.9997236011492e-06,-2.904159372120524e-06
spearman,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3860676602172127e-06,-8.179067943929637e-07
spearman,dorothea_trrust_union_immune,0.0013426853707414,0.0057843391176724,0.0021794642421482,0.0003433953192191,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.011396435762860585,0.21079717457114028,0.010339153010861014,0.11792458771705586,0.0029119908397986583,-0.001116659503071699
random,hpn_dream,0.0,0.0,0.0,3.0137961912244524e-06,49809,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.998932940834811e-06,-2.9049500378935622e-06
random,beeline_gsd,0.0,0.0,0.0,1.2366896630794875e-06,49809,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.386013618207177e-06,-8.179608365221066e-07
random,dorothea_trrust_union_immune,0.0004818406312112,0.002072002072002,0.0007818608287724,0.0003119518721161,49809,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.004089763634277543,0.21079717457114028,0.0037090669282596857,0.11792458771705586,0.0026453505427094346,-0.0013843771378827916
attention_inferred,hpn_dream,0.0,0.0,0.0,,224515,232,2503651332,False,51,51,100.0,0.1024302068688491,probe_priors_full_genes,0.999999,9.26646602243415e-08,0.7450980392156863,311.36842105263156,0.0,0.8539325842696629,0.0,,,
attention_inferred,dorothea_human,8.910154457527522e-06,7.289825226440196e-06,8.01895681390808e-06,,224515,274355,2503651332,False,18352,18140,98.84481255448996,36.433018678449486,probe_priors_full_genes,0.9884481255448996,0.0001095819519648673,0.09497602441150828,2888676.397016638,9.381477602096677e-05,0.17347598905200298,4.6225168438176376e-05,,,
attention_inferred,trrust_human,0.0,0.0,0.0,,224515,8315,2503651332,False,2836,2809,99.04795486600844,5.641695119501907,probe_priors_full_genes,0.9904795486600844,3.321149352437067e-06,0.15902679830747532,52286.784922394676,0.0,0.27441435959841803,0.0,,,
attention_inferred,dorothea_trrust_union_immune,8.910154457527522e-06,7.358784917434433e-06,8.060502128980125e-06,,224515,271784,2503651332,False,17731,17731,100.0,35.61156858806989,probe_priors_full_genes,0.999999,0.00010855505178626047,0.11781625401838587,2306846.387745333,7.562754843773121e-05,0.21079717457114028,3.823818865399379e-05,,,
probe_attention,hpn_dream,0.0,0.0,0.0,,225130,232,2503651332,False,51,51,100.0,0.1024302068688491,probe_priors_full_genes,0.999999,9.26646602243415e-08,0.7450980392156863,311.36842105263156,0.0,0.8539325842696629,0.0,,,
probe_attention,dorothea_human,7.995664572987092e-05,6.560842703796177e-05,7.207539085883835e-05,,225130,274355,2503651332,False,18352,18140,98.84481255448996,36.433018678449486,probe_priors_full_genes,0.9884481255448996,0.0001095819519648673,0.09497602441150828,2888676.397016638,0.0008418613668586295,0.17347598905200298,0.00041547761884921306,,,
probe_attention,trrust_human,0.0,0.0,0.0,,225130,8315,2503651332,False,2836,2809,99.04795486600844,5.641695119501907,probe_priors_full_genes,0.9904795486600844,3.321149352437067e-06,0.15902679830747532,52286.784922394676,0.0,0.27441435959841803,0.0,,,
probe_attention,dorothea_trrust_union_immune,7.995664572987092e-05,6.62290642569099e-05,7.244831014316592e-05,,225130,271784,2503651332,False,17731,17731,100.0,35.61156858806989,probe_priors_full_genes,0.999999,0.00010855505178626047,0.11781625401838587,2306846.387745333,0.0006786554741198379,0.21079717457114028,0.0003436872922540805,,,
probe_grad_input,hpn_dream,0.0,0.0,0.0,,223205,232,2503651332,False,51,51,100.0,0.1024302068688491,probe_priors_full_genes,0.999999,9.26646602243415e-08,0.7450980392156863,311.36842105263156,0.0,0.8539325842696629,0.0,,,
probe_grad_input,dorothea_human,8.51235411393114e-05,6.925333965118186e-05,7.637269876999759e-05,,223205,274355,2503651332,False,18352,18140,98.84481255448996,36.433018678449486,probe_priors_full_genes,0.9884481255448996,0.0001095819519648673,0.09497602441150828,2888676.397016638,0.0008962634692992787,0.17347598905200298,0.0004402493923646304,,,
probe_grad_input,trrust_human,0.0,0.0,0.0,,223205,8315,2503651332,False,2836,2809,99.04795486600844,5.641695119501907,probe_priors_full_genes,0.9904795486600844,3.321149352437067e-06,0.15902679830747532,52286.784922394676,0.0,0.27441435959841803,0.0,,,
probe_grad_input,dorothea_trrust_union_immune,8.51235411393114e-05,6.990845671562712e-05,7.67693827539602e-05,,223205,271784,2503651332,False,17731,17731,100.0,35.61156858806989,probe_priors_full_genes,0.999999,0.00010855505178626047,0.11781625401838587,2306846.387745333,0.0007225110138540596,0.21079717457114028,0.0003641860139261587,,,
probe_integrated_gradients,hpn_dream,0.0,0.0,0.0,,223232,232,2503651332,False,51,51,100.0,0.1024302068688491,probe_priors_full_genes,0.999999,9.26646602243415e-08,0.7450980392156863,311.36842105263156,0.0,0.8539325842696629,0.0,,,
probe_integrated_gradients,dorothea_human,0.0001119911123853,9.112281533050244e-05,0.0001004849403219,,223232,274355,2503651332,False,18352,18140,98.84481255448996,36.433018678449486,probe_priors_full_genes,0.9884481255448996,0.0001095819519648673,0.09497602441150828,2888676.397016638,0.001179151402464157,0.17347598905200298,0.0005792440836972406,,,
probe_integrated_gradients,trrust_human,4.479644495412844e-06,0.0001202645820805,8.63755522636873e-06,,223232,8315,2503651332,False,2836,2809,99.04795486600844,5.641695119501907,probe_priors_full_genes,0.9904795486600844,3.321149352437067e-06,0.15902679830747532,52286.784922394676,2.8169117048760147e-05,0.27441435959841803,3.147632375728827e-05,,,
probe_integrated_gradients,dorothea_trrust_union_immune,0.0001164707568807,9.566420392664763e-05,0.0001050471095883,,223232,271784,2503651332,False,17731,17731,100.0,35.61156858806989,probe_priors_full_genes,0.999999,0.00010855505178626047,0.11781625401838587,2306846.387745333,0.0009885796985407813,0.21079717457114028,0.0004983326261465069,,,
